filename,transcription
segment_001.wav,"Unit A2, Activity 5, Track 2."
segment_002.wav,"Hi, I'm here to pick up the new timetable."
segment_003.wav,"Okay, which course are you on?"
segment_004.wav,It's the Foundation course in Civil and Structural Engineering.
segment_005.wav,"So, in semester 1, you take mathematics, mechanics, physics and information and communications technology."
segment_006.wav,Lectures are in the Tresham Building and they start at 10 o'clock in the morning.
segment_007.wav,What time do the lectures end?
segment_008.wav,The lectures finish at 12.
segment_009.wav,You have lab work in the afternoon every Wednesday and Thursday.
segment_010.wav,Dr. Boot supervises these sessions and a lab technician attends the lab work sessions too.
segment_011.wav,"On Monday and Tuesday, you go to your tutor for a tutorial session."
segment_012.wav,"So, what happens on Friday?"
segment_013.wav,You don't have any classes on Fridays.
segment_014.wav,That is for research time.
